gene	type	organ
FANCB	Confirmed DD Gene	Bone Marrow/Immune 
ELN	Confirmed DD Gene	Heart/Cardiovasculature
EBP	Confirmed DD Gene	Skeleton
EBP	Confirmed DD Gene	Brain/Cognition
DPM1	Confirmed DD Gene	Brain/Cognition
DPM1	Confirmed DD Gene	Endocrine/Metabolic
DPAGT1	Confirmed DD Gene	Brain/Cognition
DPAGT1	Confirmed DD Gene	Endocrine/Metabolic
DOLK	Confirmed DD Gene	Endocrine/Metabolic
DOLK	Confirmed DD Gene	Brain/Cognition
DKC1	Confirmed DD Gene	Skin
CRELD1	Probable DD gene	Heart/Cardiovasculature
CFC1	Probable DD gene	Heart/Cardiovasculature
CDK5RAP2	Probable DD gene	Brain/Cognition
BMPR1B	Confirmed DD Gene	Skeleton
ACVR2B	Possible DD Gene	Heart/Cardiovasculature
VRK1	Probable DD gene	Brain/Cognition
STIL	Probable DD gene	Brain/Cognition
ATOH7	Possible DD Gene	Eye
ACY1	Confirmed DD Gene	Brain/Cognition
AKT1	Confirmed DD Gene	Skin
AKT1	Confirmed DD Gene	Skeleton
AXIN1	Possible DD Gene	Skeleton
CAV1	Possible DD Gene	Skin
CD96	Probable DD gene	Brain/Cognition
CD96	Probable DD gene	Skeleton
ERBB3	Possible DD Gene	Skeleton
FAM20C	Confirmed DD Gene	Brain/Cognition
FAM20C	Confirmed DD Gene	Skeleton
GDF1	Possible DD Gene	Heart/Cardiovasculature
HIBCH	Confirmed DD Gene	Brain/Cognition
LIG4	Confirmed DD Gene	Brain/Cognition
LIG4	Confirmed DD Gene	Bone Marrow/Immune 
MED23	Possible DD Gene	Brain/Cognition
PIP5K1C	Possible DD Gene	Skeleton
PREPL	Possible DD Gene	Brain/Cognition
RAB23	Confirmed DD Gene	Skeleton
RAB23	Confirmed DD Gene	Brain/Cognition
SNAP29	Probable DD gene	Skin
SNAP29	Probable DD gene	Brain/Cognition
SOX17	Confirmed DD Gene	Kidney Renal Tract
ST14	Probable DD gene	Skin
TTC19	Confirmed DD Gene	Brain/Cognition
TTC19	Confirmed DD Gene	Endocrine/Metabolic
MPLKIP	Confirmed DD Gene	Skin
MPLKIP	Confirmed DD Gene	Brain/Cognition
ZEB1	Possible DD Gene	Eye
ACAD9	Confirmed DD Gene	Brain/Cognition
NRAS	Confirmed DD Gene	Brain/Cognition
NRAS	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
SLX4	Confirmed DD Gene	Bone Marrow/Immune 
SLX4	Confirmed DD Gene	Brain/Cognition
BCKDHA	Confirmed DD Gene	Brain/Cognition
BCKDHA	Confirmed DD Gene	Endocrine/Metabolic
BCKDHB	Confirmed DD Gene	Brain/Cognition
BCKDHB	Confirmed DD Gene	Endocrine/Metabolic
DBT	Confirmed DD Gene	Endocrine/Metabolic
DBT	Confirmed DD Gene	Brain/Cognition
DLD	Confirmed DD Gene	Endocrine/Metabolic
DPM3	Probable DD gene	Endocrine/Metabolic
RFT1	Probable DD gene	Endocrine/Metabolic
ALG1	Confirmed DD Gene	Endocrine/Metabolic
ALG11	Probable DD gene	Endocrine/Metabolic
ALG2	Probable DD gene	Endocrine/Metabolic
ALG3	Confirmed DD Gene	Endocrine/Metabolic
ALG8	Confirmed DD Gene	Endocrine/Metabolic
ALG9	Probable DD gene	Endocrine/Metabolic
COG1	Confirmed DD Gene	Endocrine/Metabolic
COG4	Confirmed DD Gene	Endocrine/Metabolic
COG5	Probable DD gene	Endocrine/Metabolic
COG7	Confirmed DD Gene	Endocrine/Metabolic
COG8	Confirmed DD Gene	Endocrine/Metabolic
CCDC22	Probable DD gene	Brain/Cognition
GSPT2	Probable DD gene	Brain/Cognition
MAOB	Probable DD gene	Brain/Cognition
RBM8A	Confirmed DD Gene	Skeleton
RBM8A	Confirmed DD Gene	Bone Marrow/Immune 
GATA2	Confirmed DD Gene	Bone Marrow/Immune 
COL4A2	Both DD and IF	Heart/Cardiovasculature
COL4A2	Both DD and IF	Brain/Cognition
COL4A2	Both DD and IF	
COL4A1	Both DD and IF	Heart/Cardiovasculature
COL4A1	Both DD and IF	Brain/Cognition
C2orf71	Confirmed DD Gene	Eye
PLEC	Confirmed DD Gene	Skin
ANKRD11	Confirmed DD Gene	Brain/Cognition
ANKRD11	Confirmed DD Gene	Teeth & Dentitian
ANKRD11	Confirmed DD Gene	Skeleton
IGFBP7	Probable DD gene	Heart/Cardiovasculature/Lymphatic
MAFB	Confirmed DD Gene	Skeleton
SCN8A	Confirmed DD Gene	Brain/Cognition
ACO2	Probable DD gene	Brain/Cognition
ACO2	Probable DD gene	Endocrine/Metabolic
LOXHD1	Both DD and IF	Ear
LOXHD1	Both DD and IF	Eye
CTC1	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
CTC1	Confirmed DD Gene	Brain/Cognition
TRPV3	Probable DD gene	Skin
SYNGAP1	Confirmed DD Gene	Brain/Cognition
STXBP1	Confirmed DD Gene	Brain/Cognition
MEF2C	Confirmed DD Gene	Brain/Cognition
GRIN2B	Confirmed DD Gene	Brain/Cognition
ARID1B	Confirmed DD Gene	Brain/Cognition
MTAP	Confirmed DD Gene	Skeleton
MTAP	Confirmed DD Gene	Musculature
PIGL	Confirmed DD Gene	Brain/Cognition
PIGL	Confirmed DD Gene	Eye
PIGL	Confirmed DD Gene	Multisystem
SKIV2L	Confirmed DD Gene	GI tract
TTC37	Confirmed DD Gene	GI tract
TTC37	Confirmed DD Gene	Skin
SKIV2L	Confirmed DD Gene	Skin
PDE4D	Confirmed DD Gene	Skeleton
ROGDI	Confirmed DD Gene	Brain/Cognition
